"","Year","Action","Adventure","Fighting","Misc","Platform","Puzzle","Racing","Role-Playing","Shooter","Simulation","Sports","Strategy","Sales"
"1","1980-1994",71.52,23.07,40.11,16.63,213.71,81.51,31.09,42.58,73.46,8.85,51.32,5.68,659.53
"2","1995",3.57,0.72,14.85,6.4,16.69,2.71,6.09,14.26,4.15,4.18,7.98,6.51,88.11
"3","1996",20.58,4.19,18.06,10.68,28.23,3.91,28.24,43.96,6.91,11.33,17.45,5.61,199.15
"4","1997",27.58,4.96,11.76,5.69,21.85,5.89,31.91,21.79,22.17,9.65,30.02,7.71,200.98
"5","1998",39.44,9.05,31.66,11.94,29.88,6.34,27.9,28.08,9.8,7.11,41.79,13.46,256.45
"6","1999",27.77,7.6,14.26,20.65,20.82,1.36,37.27,49.09,12.25,11.44,30.29,18.45,251.25
"7","2000",34.04,2.98,20.22,15.54,16.06,3.82,19.99,29.03,6.81,3.38,41.19,8.52,201.58
"8","2001",59.39,9.12,18.12,16.4,39.28,8,55.81,22.06,24.77,19.54,51.43,7.55,331.47
"9","2002",86.76,11.05,25.02,15.67,45.97,5.34,30.2,45.13,48.58,10.81,65.42,5.56,395.51
"10","2003",67.93,2.14,23.73,23.82,42.89,2.42,52.19,30.26,27.13,21.19,56.11,7.99,357.8
"11","2004",76.25,8.69,16.78,31.32,47.22,8.4,47.83,53.95,46.95,10.83,63.67,7.16,419.05
"12","2005",85.53,8.44,19.71,61.08,23.39,20.42,56.03,28.42,41.55,48.92,59.51,5.31,458.31
"13","2006",66.13,11.37,22.42,67.07,49.35,10.8,33.86,57.37,38.24,21.56,135.83,4.22,518.22
"14","2007",104.97,24.1,17.49,91.52,35.1,23.74,38.87,43.45,70.67,48.42,97.78,9.26,605.37
"15","2008",135.01,24.71,35.04,86.05,35.14,15.29,70.03,59.03,59.22,46.09,94.63,11.55,671.79
"16","2009",137.66,20.2,31.88,75.8,40.58,19.8,33.65,47.29,69.3,33.32,137.33,12.36,659.17
"17","2010",115.49,16,14.72,95.2,30.98,10.74,34.36,69.57,76.87,21.55,91.34,13.77,590.59
"18","2011",116.76,15.61,22.37,54.45,27.71,4.95,34.83,52.85,98.17,15.13,56.12,8.84,507.79
"19","2012",119.1,5.8,9.2,22.21,18.37,1.72,13.68,46.91,71.8,13.36,30.42,3.27,355.84
"20","2013",122.57,6.07,7.04,25.28,24.59,0.95,12.33,44.42,62.05,8.62,41.23,6.09,361.24
"21","2014",97.3,5.61,15.83,23.35,8.78,1.49,16.64,45.57,65.26,5.59,45.1,0.99,331.51
"22","2015",72.04,8.15,7.92,11.56,6.06,0.72,8.07,37.66,67.49,5.64,40.9,1.84,268.05
"23","2016",30.23,3.83,4.44,2.63,3.21,0.01,2.83,18.12,38.23,1.89,23.53,1.15,130.1
